(-29.6005,0.139259,128.345)
(-29.5863,-0.0934487,128.43)
(-29.5754,-0.302348,128.505)
(-29.5609,-0.49192,128.569)
(-29.5469,-0.660488,128.627)
(-29.5337,-0.810428,128.681)
(-29.5246,-0.944309,128.728)
(-29.5172,-1.06318,128.772)
(-29.5099,-1.16752,128.809)
(-29.5028,-1.25635,128.843)
(-29.4949,-1.32426,128.865)
(-29.493,-1.33687,128.869)
(-29.493,-1.33704,128.869)
(-29.493,-1.33704,128.869)
(34.7437,10.6573,-1.01)
(34.7437,10.6573,-0.99)
(34.7438,10.6573,1.11022e-16)
(34.7438,10.6573,0.018)
(34.7438,10.6573,0.05)
(34.7438,10.6573,0.050001)
(34.7438,10.6573,0.0588964)
(34.745,10.6557,14.406)
(34.7462,10.6508,34.4408)
(34.7471,10.646,50)
(34.7471,10.646,50.018)
(34.7471,10.646,50.05)
(34.7471,10.646,50.05)
(34.739,10.6236,86.085)
(34.7524,10.5896,143.728)
(34.7537,10.5523,200)
(34.7537,10.5523,200.018)
(34.7537,10.5523,200.05)
(34.7537,10.5523,200.05)
(34.7534,10.5522,214.345)
(34.7499,10.555,250)
(34.7499,10.555,250.018)
(34.7499,10.555,250.05)
(34.7499,10.555,250.05)
(22.4538,35.1684,-1.01)
(22.4538,35.1684,-0.99)
(22.4538,35.1685,1.11022e-16)
(22.4538,35.1685,0.018)
(22.4538,35.1685,0.05)
(22.4538,35.1685,0.050001)
(22.4561,35.1679,8.93904)
(22.4573,35.1676,12.6622)
(22.4615,35.1613,48.922)
(22.4616,35.1609,50)
(22.4616,35.1609,50.018)
(22.4616,35.1608,50.05)
(22.4616,35.1608,50.05)
(22.4608,35.1559,56.0341)
(22.4614,35.1064,100.45)
(22.4617,35.0997,105.114)
(22.4305,35.1175,112.824)
(22.3545,35.1459,121.932)
(22.3507,35.1429,122.555)
(22.35,35.1421,122.687)
(22.3224,35.1215,126.224)
(22.3173,35.1166,126.806)
(22.3133,35.1129,127.258)
(22.2688,35.0771,132.033)
(22.2595,35.0724,132.733)
(22.2415,35.0617,134.188)
(22.2339,35.0585,134.789)
(22.1941,35.0431,137.594)
(22.1829,35.0398,138.393)
(22.0872,35.0039,145.302)
(21.9424,34.9395,153.424)
(21.2606,34.6444,191.779)
(21.1163,34.5794,200)
(21.116,34.5792,200.018)
(21.1155,34.579,200.05)
(21.1155,34.579,200.05)
(20.8708,34.4598,214.002)
(20.837,34.4433,215.939)
(20.552,34.3027,232.35)
(20.247,34.1509,250)
(20.2467,34.1508,250.018)
(20.2461,34.1505,250.05)
(20.2461,34.1505,250.05)
(-18.2387,-36.1722,-1.01)
(-18.2387,-36.1722,-0.99)
(-18.2387,-36.1721,0)
(-18.2387,-36.1721,0.018)
(-18.2387,-36.1722,0.05)
(-18.2387,-36.1722,0.050001)
(-18.2393,-36.1714,11.0153)
(-18.2433,-36.1723,42.0914)
(-18.2436,-36.1705,50)
(-18.2436,-36.1705,50.018)
(-18.2436,-36.1705,50.05)
(-18.2436,-36.1705,50.05)
(-18.2775,-36.1356,101.211)
(-18.285,-36.1455,105.149)
(-18.2938,-36.1462,108.016)
(-18.2963,-36.1476,112.211)
(-18.2789,-36.1545,112.885)
(-18.242,-36.1732,114.33)
(-18.2193,-36.1851,115.179)
(-18.1716,-36.2112,116.982)
(-18.163,-36.2175,117.349)
(-18.1449,-36.2313,118.175)
(-18.1376,-36.2381,118.53)
(-18.1308,-36.2449,118.878)
(-18.1176,-36.2583,119.601)
(-18.0511,-36.3498,123.859)
(-18.0234,-36.3816,125.25)
(-18.0145,-36.3932,125.753)
(-17.9908,-36.4285,127.162)
(-17.9756,-36.4534,128.132)
(-17.9331,-36.5253,130.713)
(-17.8954,-36.5924,132.896)
(-17.8756,-36.6404,134.387)
(-17.8476,-36.7131,136.473)
(-17.8208,-36.7694,138.194)
